Date,Open,High,Low,Close,Volume,Adj Close
1/3/12,409.399998,412.499989,408.999989,411.23,75555200,53.278774
1/4/12,410.000011,414.680012,409.279995,413.44001,65005500,53.565102
1/5/12,414.950005,418.550007,412.670006,418.029995,67817400,54.159778
1/6/12,419.770008,422.749996,419.220009,422.400002,79573200,54.725955
1/9/12,425.499992,427.750004,421.349991,421.73,98506100,54.639149
1/10/12,425.909988,426.000004,421.500008,423.239994,64549100,54.834784
1/11/12,422.680008,422.849998,419.309998,422.549992,53771200,54.745387
1/12/12,422.279999,422.900013,418.750011,421.389992,53146800,54.595098
1/13/12,419.699993,420.449997,418.659996,419.810009,56505400,54.390396
1/17/12,424.199989,425.98999,422.959988,424.700001,60724300,55.023941
1/18/12,426.959999,429.46999,426.300011,429.110008,69197800,55.5953
1/19/12,430.150005,431.370007,426.510002,427.750004,65434600,55.419098
1/20/12,427.489998,427.500011,419.750008,420.300007,103493600,54.45388
1/23/12,422.669994,428.449993,422.299999,427.409996,76515600,55.375047
1/24/12,425.10001,425.10001,419.550003,420.409996,136909500,54.46813
1/25/12,454.439987,454.449974,443.729996,446.659996,239578500,57.869069
1/26/12,448.360008,448.789978,443.139996,444.62999,80996300,57.606062
1/27/12,444.339996,448.480011,443.769997,447.28001,74927300,57.949397
1/30/12,445.709988,453.900002,445.390007,453.009995,94835300,58.691771
1/31/12,455.589973,458.240021,453.070023,456.47998,97920900,59.141341
2/1/12,458.410011,458.989998,455.550026,456.189987,67511500,59.10377
2/2/12,455.899994,457.169983,453.980003,455.120003,46699100,58.965143
2/3/12,457.300026,460.000008,455.560013,459.68,71649900,59.555934
2/6/12,458.379997,464.979988,458.20002,463.969978,62353200,60.111742
2/7/12,465.250008,469.749977,464.579979,468.830009,79055900,60.741406
2/8/12,470.500008,476.789978,469.699989,476.680016,101972500,61.758449
2/9/12,480.760002,496.750008,480.559998,493.170006,221053700,63.894885
2/10/12,490.960022,497.619987,488.54998,493.419998,157825500,63.927273
2/13/12,499.529991,503.830009,497.089989,502.600021,129304000,65.116633
2/14/12,504.659988,509.56002,502.000008,509.459991,115099600,66.005408
2/15/12,514.259995,526.290016,496.889984,497.669975,376530000,64.477899
2/16/12,491.500008,504.890007,486.62999,502.209999,236138000,65.066102
2/17/12,503.109993,507.77002,500.299995,502.12001,133951300,65.054443
2/21/12,506.880013,514.850021,504.120003,514.850021,151398800,66.703738
2/22/12,513.079994,515.489983,509.070023,513.039993,120825600,66.469231
2/23/12,515.079987,517.830009,509.499992,516.389977,142006900,66.903253
2/24/12,519.669998,522.899979,518.640015,522.409981,103768000,67.683203
2/27/12,521.309982,528.5,516.280014,525.760017,136895500,68.117232
